Ux,Uy,Uz,ox,oy,oz,M00,M01,M02,M10,M11,M12,M20,M21,M22,tag
0,0,1,0,0,0,6.12323399574e-17,0,1,0,1,0,-1,0,6.12323399574e-17,hover_degenerate
0,0,1,0,0,2,6.12323399574e-17,0,1,0,1,0,-1,0,6.12323399574e-17,omega_parallel
0,0,1,0,0.6,0.3,6.12323399574e-17,0,1,-3.06161699787e-17,1,1.87469972833e-33,-1,-3.06161699787e-17,6.12323399574e-17,benchmark_spin
0,0,1,1,0,0,6.12323399574e-17,0,1,1,6.12323399574e-17,-6.12323399574e-17,-6.12323399574e-17,1,3.74939945665e-33,handedness
0.486696407748,-1.46012642615,-0.146840567631,-0.548870651171,-0.216166416695,-0.210299520531,0.314791082764,-0.944397310815,-0.094975225916,-0.905266811365,-0.268649366438,-0.329119306869,0.285304354075,0.189581742891,-0.939499967168,random
-0.655527640447,-0.286606650219,2.83775017087,0,-0,-0,-0.223993434347,-0.09793333481,0.969657673255,0.400599798717,-0.916253131655,0,0.888451879754,0.38844466873,0.244466759903,random
2.17412144146,-0.318797183257,-1.18674992805,0,0,0,0.870567609547,-0.127653633539,-0.475201627787,0.145081237051,0.989419746445,0,0.470173874075,-0.0689428400079,0.87987693057,random
0.705071734485,0.106495371921,0.910899447383,-0.547722982783,0.581153047944,0.242315289742,0.60949752321,0.0920596617966,0.787424782358,-0.594360555761,0.710351624912,0.377009414658,-0.524641114436,-0.697800535722,0.487674187741,random
0.293889777738,-0.230114862307,0.182416392256,1.00126041358,0.124114603882,-0.663757422545,0.707398846126,-0.553891289874,0.439080074133,0.652884180757,0.274055228834,-0.706141613323,0.270793498844,0.786192196954,0.55549321367,random
-0.10941998081,1.38864444246,-0.326921661019,-2.79480080236,-0.690696503607,1.35895533249,-0.0764747747363,0.970538197313,-0.228488985263,-0.92354101735,0.0174206475729,0.383103785298,0.375797283253,0.240316725584,0.894999594025,random
-0.0792908582028,0.816404521031,-0.383040024631,0.734069563024,-0.445016092246,0.891064138754,-0.0875875813484,0.901830286868,-0.423120017585,0.7287700381,0.347586536604,0.58998121253,0.679133747623,-0.25668216389,-0.687671156571,random
2.44274984375,-0.445457978376,2.03362074236,-0,-0,0,0.761093062252,-0.138792344101,0.633619788052,0.179400650428,0.983776095779,0,-0.623340001298,0.1136718021,0.773644598113,random
-0.8465401929,0.990005320207,0.93853906727,3.98103729386,3.56072408769,0.547002758188,-0.527278573211,0.616637694333,0.584581269081,0.784729057896,0.617238157195,0.0567218035401,-0.325849063104,0.48864610019,-0.809349971794,random
-0.81511151224,-1.54595635853,0.0827780966205,-0.0388863969409,-0.167506666133,-0.544391316263,-0.465873849717,-0.883585410619,0.0473115027401,0.0478996919886,-0.0785730170174,-0.995756948509,0.883553719735,-0.461630916576,0.0789285829361,random
1.38111985137,0.0873431713472,-2.17754378021,-0,-0,0,0.535300973062,0.0338528800133,-0.843982731313,-0.0631147493453,0.998006276741,0,0.842300063311,0.0532677585385,0.536370347098,random
0.213562052319,2.18901139089,0.504427103136,0.0894993600387,0.300816472787,-0.0636569178219,0.0946427377763,0.970088219357,0.223543281827,0.433647571725,0.161953492568,-0.886408963054,-0.896098507823,0.180831172393,-0.405348678754,random
